City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Warrington,GB,2022-05-04 16:07:41,53.3925,-2.5802,56.01,86,75,17.27
204,Tasiilaq,GL,2022-05-04 16:07:41,65.6145,-37.6368,28.56,70,100,9.8
205,Bowen,AU,2022-05-04 16:07:43,-20.0167,148.2333,70.43,93,4,6.49
206,Behbahan,IR,2022-05-04 16:07:43,30.5959,50.2417,84.56,18,0,1.88
207,Half Moon Bay,US,2022-05-04 16:07:44,37.4636,-122.4286,70.88,72,0,0.0
208,Talnakh,RU,2022-05-04 16:07:44,69.4865,88.3972,25.54,94,98,14.99
209,Nova Olimpia,BR,2022-05-04 16:07:45,-14.7972,-57.2881,74.23,63,96,6.4
210,Fortuna,US,2022-05-04 16:07:45,40.5982,-124.1573,52.72,89,0,0.0
211,Dharur,IN,2022-05-04 16:07:46,18.8167,76.1167,93.2,19,7,5.95
212,Mogadishu,SO,2022-05-04 16:04:17,2.0371,45.3438,81.68,79,71,13.11
213,Nishihara,JP,2022-05-04 16:07:46,26.1842,127.7558,71.26,94,75,8.05
214,Jinchang,CN,2022-05-04 16:07:47,38.4953,102.1739,70.9,10,26,3.96
215,Adrar,MR,2022-05-04 16:07:47,20.5022,-10.0711,97.81,11,6,7.43
216,Hambantota,LK,2022-05-04 16:06:14,6.1241,81.1185,80.94,94,40,4.61
217,Mumford,GH,2022-05-04 16:07:48,5.2618,-0.759,84.54,71,17,13.62
218,Ketchikan,US,2022-05-04 16:07:48,55.3422,-131.6461,46.38,81,100,14.97
219,Hobart,AU,2022-05-04 16:07:49,-42.8794,147.3294,44.46,88,100,4.61
220,Champerico,GT,2022-05-04 16:07:49,14.3,-91.9167,84.74,65,100,10.67
221,San Luis,AR,2022-05-04 16:07:50,-33.295,-66.3356,73.17,19,47,5.99
222,Tyubuk,RU,2022-05-04 16:07:50,56.0552,60.9405,51.21,44,84,6.06
223,That Phanom,TH,2022-05-04 16:07:51,16.9364,104.7104,72.45,61,76,7.02
224,Port Blair,IN,2022-05-04 16:07:51,11.6667,92.75,84.24,79,75,2.3
225,Bandarbeyla,SO,2022-05-04 16:07:52,9.4942,50.8122,84.34,79,43,5.99
226,Provideniya,RU,2022-05-04 16:07:52,64.3833,-173.3,23.95,92,70,9.57
227,Krasnoshchekovo,RU,2022-05-04 16:07:53,51.6708,82.7289,47.53,31,80,15.99
228,Gat,IL,2022-05-04 16:07:53,31.61,34.7642,69.82,100,33,13.24
229,Tokur,RU,2022-05-04 16:07:54,53.1333,132.9,31.37,100,100,2.95
230,Mahebourg,MU,2022-05-04 16:07:54,-20.4081,57.7,78.26,80,23,17.85
231,Nelson Bay,AU,2022-05-04 16:07:55,-32.7167,152.15,67.08,90,83,10.74
232,Qasigiannguit,GL,2022-05-04 16:07:55,68.8193,-51.1922,17.85,78,100,8.81
233,Robertsport,LR,2022-05-04 16:07:56,6.7533,-11.3686,85.17,69,48,9.86
234,Jhanjharpur,IN,2022-05-04 16:07:56,26.2667,86.2833,86.27,48,43,8.72
235,Ponta Do Sol,PT,2022-05-04 16:07:58,32.6667,-17.1,69.12,62,73,4.32
236,Kodiak,US,2022-05-04 16:07:58,57.79,-152.4072,42.31,81,100,10.36
237,Pelym,RU,2022-05-04 16:07:59,61.0108,61.9978,44.47,94,100,5.5
238,Diamantino,BR,2022-05-04 16:05:00,-14.4086,-56.4461,76.55,61,93,7.92
239,Moron,AR,2022-05-04 16:04:32,-34.6534,-58.6198,64.94,56,1,4.47
240,Kinablangan,PH,2022-05-04 16:07:59,7.6947,126.5503,77.59,86,49,3.58
241,Kousseri,CM,2022-05-04 16:08:00,12.0769,15.0306,106.11,16,12,8.16
242,Lata,PT,2022-05-04 16:08:00,40.1629,-8.3327,75.07,36,3,10.31
243,Otorohanga,NZ,2022-05-04 16:08:01,-38.1833,175.2,54.34,98,67,2.13
244,Zapolyarnyy,RU,2022-05-04 16:08:02,69.4154,30.8136,25.88,75,100,14.97
245,Alta Floresta,BR,2022-05-04 16:08:02,-9.8756,-56.0861,84.87,62,6,4.43
246,Yulara,AU,2022-05-04 16:08:03,-25.2406,130.9889,57.04,62,100,4.61
247,Cloquet,US,2022-05-04 16:08:04,46.7216,-92.4594,51.39,51,0,6.91
248,Jaque,PA,2022-05-04 16:08:04,7.5175,-78.1703,83.7,79,100,5.53
249,Cabo San Lucas,MX,2022-05-04 16:06:15,22.8909,-109.9124,80.62,55,0,9.22
250,Kabompo,ZM,2022-05-04 16:08:05,-13.5927,24.2008,67.77,71,29,3.65
251,Black River,JM,2022-05-04 16:08:05,18.0264,-77.8487,88.81,53,6,15.86
