City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date,Country
214,Shakawe,-18.3667,21.85,74.14,23,10,5.95,clear sky,2022-05-15 15:33:07,BW
215,Fengrun,39.8333,118.1167,61.52,29,63,3.65,broken clouds,2022-05-15 15:33:08,CN
216,Constitucion,-35.3333,-72.4167,63.36,42,78,1.57,broken clouds,2022-05-15 15:33:08,CL
217,Muros,42.7762,-9.0603,67.15,79,100,18.99,light rain,2022-05-15 15:33:09,ES
218,Hervey Bay,-25.2986,152.8535,71.02,96,78,4.0,broken clouds,2022-05-15 15:33:09,AU
219,Coquimbo,-29.9533,-71.3436,55.13,82,100,3.44,overcast clouds,2022-05-15 15:33:10,CL
220,Beidao,34.5686,105.8933,52.66,83,100,5.59,overcast clouds,2022-05-15 15:33:10,CN
221,Dilla,6.41,38.31,67.03,75,91,5.1,overcast clouds,2022-05-15 15:33:11,ET
222,Barcelos,41.5388,-8.6151,69.85,64,100,14.45,overcast clouds,2022-05-15 15:33:11,PT
223,Igaci,-9.5369,-36.6336,82.72,66,100,11.16,overcast clouds,2022-05-15 15:33:12,BR
224,Flin Flon,54.7682,-101.865,35.44,80,100,14.97,overcast clouds,2022-05-15 15:33:12,CA
225,Dikson,73.5069,80.5464,33.28,99,100,9.17,overcast clouds,2022-05-15 15:30:50,RU
226,Ulaanbaatar,47.9077,106.8832,41.13,36,0,4.47,clear sky,2022-05-15 15:33:13,MN
227,Ahipara,-35.1667,173.1667,64.49,87,98,12.15,overcast clouds,2022-05-15 15:33:13,NZ
228,Worland,44.0169,-107.9554,58.35,72,0,4.61,clear sky,2022-05-15 15:33:14,US
229,Kungurtug,50.5994,97.5228,49.66,40,4,1.48,clear sky,2022-05-15 15:30:32,RU
230,Sapele,5.8941,5.6767,86.67,70,96,5.1,light rain,2022-05-15 15:33:15,NG
231,Avanigadda,16.0215,80.9181,86.65,74,4,10.22,clear sky,2022-05-15 15:33:15,IN
232,Upata,8.0086,-62.3989,84.2,60,99,8.01,overcast clouds,2022-05-15 15:33:16,VE
233,Zheleznodorozhnyy,55.7503,38.0042,59.43,65,92,8.52,light rain,2022-05-15 15:33:16,RU
234,Oyama,36.3,139.8,64.58,73,100,6.38,light rain,2022-05-15 15:33:16,JP
235,Nsunga,-1.1439,31.3947,66.15,92,74,3.51,broken clouds,2022-05-15 15:33:17,TZ
236,Clyde River,70.4692,-68.5914,23.23,80,75,5.75,broken clouds,2022-05-15 15:32:45,CA
237,Tawau,4.2498,117.8871,77.13,88,37,10.0,light rain,2022-05-15 15:33:18,MY
238,Tornio,65.8481,24.1466,50.02,63,69,2.42,broken clouds,2022-05-15 15:33:18,FI
239,Mao,39.8885,4.2658,75.76,35,0,12.66,clear sky,2022-05-15 15:33:19,ES
240,Dongsheng,39.8161,109.9776,52.43,18,2,9.82,clear sky,2022-05-15 15:33:19,CN
241,Teahupoo,-17.8333,-149.2667,67.96,75,34,13.98,light rain,2022-05-15 15:30:19,PF
242,Severobaykalsk,55.65,109.3167,41.92,64,53,3.44,broken clouds,2022-05-15 15:33:20,RU
243,Awjilah,29.1081,21.2869,85.24,19,0,11.74,clear sky,2022-05-15 15:33:20,LY
244,Pevek,69.7008,170.3133,15.19,92,100,3.85,overcast clouds,2022-05-15 15:29:05,RU
245,Svetlogorsk,52.6333,29.7333,55.89,63,98,10.45,overcast clouds,2022-05-15 15:33:21,BY
246,Port Lincoln,-34.7333,135.8667,59.61,69,60,15.86,broken clouds,2022-05-15 15:30:48,AU
247,Luba,3.4568,8.5547,83.19,76,83,6.04,broken clouds,2022-05-15 15:33:22,GQ
248,Padang,-0.9492,100.3543,78.85,89,40,4.09,scattered clouds,2022-05-15 15:33:22,ID
249,Alice Springs,-23.7,133.8833,62.15,59,100,0.0,overcast clouds,2022-05-15 15:31:27,AU
250,Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,100,100,13.42,light intensity shower rain,2022-05-15 15:33:23,RU
251,Saint-Joseph,-21.3667,55.6167,73.78,73,21,10.42,few clouds,2022-05-15 15:33:23,RE
252,Vanimo,-2.6741,141.3028,79.59,80,85,2.13,overcast clouds,2022-05-15 15:33:24,PG
253,Hit,33.6416,42.8251,93.15,14,9,4.54,clear sky,2022-05-15 15:33:24,IQ
254,Port Hedland,-20.3167,118.5667,77.05,57,75,5.75,broken clouds,2022-05-15 15:33:25,AU
255,Loa Janan,-0.583,117.095,75.49,96,69,1.61,broken clouds,2022-05-15 15:33:25,ID
256,Arica,-18.475,-70.3042,65.75,68,100,1.14,overcast clouds,2022-05-15 15:33:26,CL
257,Tayoltita,24.0833,-105.9333,87.53,29,100,3.11,overcast clouds,2022-05-15 15:33:26,MX
258,Ballyhaunis,53.7667,-8.7667,66.78,63,40,12.66,scattered clouds,2022-05-15 15:33:27,IE
259,Udachnyy,66.4167,112.4,35.83,92,100,5.21,overcast clouds,2022-05-15 15:33:28,RU
260,Shchors,51.8186,31.945,54.97,72,82,12.06,light rain,2022-05-15 15:33:28,UA
